site_id,WAPE,MAE,days,forecast_total,district
38119811,0.0,0.3326671184210522,152.0,18.441964000000016,Ангарский ГО
38113521,0.0,0.6297605704698002,149.0,24.04285700000004,Бодайбинский район
38104858,0.0,0.07977813157894739,152.0,16.392857000000035,Левый берег
38121148,0.0,0.04063838255033551,149.0,16.392857000000035,Баяндаевский район
38111028,0.0,1.3890912903225805,31.0,81.96428599999992,Ольхонский район
38123260,0.0,0.497542,17.0,24.930804000000034,Зиминский район
38116657,0.0,0.045918364238410614,151.0,34.885714000000036,Баяндаевский район
38120008,0.0,3.3948565384615383,13.0,54.91071399999999,Казачинско-Ленский район
38113608,0.0,0.0,3.0,9.314762000000009,Иркутский район
38121508,0.0,0.1673134933333332,150.0,6.21809499999999,Усольский район
38126981,0.0,0.02040816447368425,152.0,16.392857000000035,Левый берег
38128107,0.0,0.6344358787878784,132.0,16.50000000000002,Осинский район
38109928,0.0,1.370464857142857,7.0,19.466517999999965,Усольский район
38111611,0.0,0.8678571666666668,18.0,174.85714299999995,Черемховский район
38126980,0.0,0.02040816447368425,152.0,16.392857000000035,Левый берег
38118851,0.0,0.6268097538461532,130.0,16.392857000000035,Эхирит-Булагатский район
38128012,0.0,0.09107143137254899,51.0,16.392857000000035,Черемховский район
38118979,0.0,7.394472785714278,140.0,16.392857000000035,Боханский район
38124400,0.0,0.11500000000000012,150.0,16.392857000000035,Эхирит-Булагатский район
38101856,0.0,0.09702988435374152,147.0,16.392857000000035,Левый берег
38112924,0.0,0.36517857333333303,150.0,174.85714299999995,Ангарский ГО
38110639,0.0,0.06882433333333333,3.0,22.54017900000003,Эхирит-Булагатский район
38105570,0.0,1.1752040785714284,140.0,16.392857000000035,Левый берег
38117240,0.0,0.9785251798561142,139.0,16.392857000000035,Усольский район
38110766,0.0,1.038129194630872,149.0,16.392857000000035,Усть-Удинский район
38118097,0.0,1.4156964832214796,149.0,6.5571429999999875,Эхирит-Булагатский район
38123358,0.0,0.30118739473684214,76.0,16.392857000000035,Ольхонский район
38127677,0.0,2.0746742297297285,148.0,5.464285999999988,Иркутский район
38123447,0.0,0.7264509000000001,40.0,49.5,Ангарский ГО
38101107,0.0,3.24060025,4.0,12.294642999999981,Левый берег
38104224,0.0,0.6157256666666667,3.0,56.89285699999997,Правый берег
38118096,0.0,1.888761053691272,149.0,16.392857000000035,Эхирит-Булагатский район
38106796,0.0,0.082857,2.0,108.99603200000003,Ангарский ГО
38127709,0.0,0.050408399999999985,25.0,21.85714299999996,Иркутский район
38116210,0.0,0.18760714,100.0,174.85714299999995,Левый берег
38123402,0.0,0.7211960671140951,149.0,16.392857000000035,Тулунский район
38115166,0.0,0.09107143298969071,97.0,65.57142900000004,Балаганский район
38127184,0.0,0.035714286666666595,150.0,16.392857000000035,Слюдянский район
38113868,0.0,0.043595169117647034,136.0,16.392857000000035,Усольский район
38105898,0.0,0.042857140845070356,142.0,9.835713999999985,Ангарский ГО
38115130,0.0,0.16405688732394358,142.0,16.392857000000035,Иркутский район
38127600,0.0,0.7307333161764712,136.0,16.392857000000035,Иркутский район
38126950,0.0,0.042857146341463384,123.0,24.04285700000004,Иркутский район
38121972,0.0,0.204475878787879,132.0,49.17857099999997,Качугский район
38121973,0.0,0.10230461363636371,132.0,49.17857099999997,Качугский район
38104084,0.0,0.9613775357142859,28.0,16.785713999999967,Правый берег
38122552,0.0,0.9986607500000001,12.0,27.473213999999995,Зиминский район
38122850,0.0,0.06399123026315796,152.0,16.5,Левый берег
38118491,0.0,0.17449,2.0,39.52040800000006,Тулунский район
38107944,0.0,0.7083447449664446,149.0,16.392857000000035,Шелеховский район
38100472,0.0,0.17952594701986738,151.0,16.392857000000035,Правый берег
38118599,0.0,0.5885390731707318,82.0,16.392857000000035,Осинский район
38122812,0.0,2.972422233870968,124.0,16.392857000000035,Правый берег
38117608,0.0,0.10717639436619739,142.0,16.392857000000035,Усольский район
38119815,0.0,2.3237499999999995,150.0,16.392857000000035,Баяндаевский район
38119679,0.0,0.20443975384615404,130.0,21.999999999999996,Иркутский район
38123933,0.011904759358288703,0.013095235294117536,153.0,151.98333300000002,Правый берег
38100092,0.01701483018867928,0.009201897959183702,147.0,81.34821400000014,Иркутский район
38100069,0.017857469387755086,0.0019133002915451907,147.0,16.687500000000004,Иркутский район
38119819,0.02597618181818204,0.002857380000000029,150.0,17.866071000000026,Левый берег
38100061,0.026923076923076925,0.0175,150.0,100.5,Иркутский район
38122008,0.02698438095238085,0.0028911836734693813,147.0,16.687500000000004,Левый берег
38106533,0.030303030303030304,0.00980392156862745,153.0,50.625,Ангарский ГО
38106365,0.03246969696969718,0.003595637583892647,149.0,18.16071400000003,Ангарский ГО
38116565,0.03246969696969718,0.003595637583892647,149.0,18.16071400000003,Усольский район
38117671,0.03246969696969718,0.003595637583892647,149.0,15.860969000000003,Иркутский район
38125790,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38125757,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38125794,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38125793,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38125799,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38125795,0.03409090909090909,0.007352941176470588,153.0,31.729592000000043,Ангарский ГО
38125796,0.03409090909090909,0.007352941176470588,153.0,33.84375,Ангарский ГО
38120310,0.045341331923890116,0.014297633333333337,150.0,49.13333299999994,Правый берег
38100175,0.045454545454545456,0.0196078431372549,153.0,68.25,Иркутский район
38106913,0.045455064935064814,0.009868533834586456,152.0,30.206632999999943,Ангарский ГО
38109557,0.045455168831168714,0.0049342781954887175,152.0,17.276786000000016,Усольский район
38117893,0.050002285714285825,0.005102274052478152,147.0,18.744643000000046,Ангарский ГО
38122484,0.05000731428571434,0.002551393586005833,147.0,13.114285999999995,Ангарский ГО
38125528,0.05113636363636364,0.03308823529411765,153.0,101.25,Ангарский ГО
38100008,0.05184108527131783,0.022291666666666668,150.0,64.960938,Иркутский район
38109198,0.052273350649350514,0.00571198864711447,151.0,17.57142900000002,Черемховский район
38125797,0.05277777777777778,0.011642156862745098,153.0,33.84375,Ангарский ГО
38125872,0.053977303030303035,0.01171875657894737,152.0,32.21364800000005,Ангарский ГО
38125852,0.053977303030303035,0.01171875657894737,152.0,34.359375,Ангарский ГО
38125855,0.053977303030303035,0.01171875657894737,152.0,32.21364800000005,Ангарский ГО
38125853,0.053977303030303035,0.01171875657894737,152.0,34.359375,Ангарский ГО
38125874,0.053977303030303035,0.01171875657894737,152.0,32.04528100000002,Ангарский ГО
38125854,0.053977303030303035,0.01171875657894737,152.0,34.359375,Ангарский ГО
38127157,0.054423954648526035,0.005602465919701218,153.0,16.982143000000043,Ангарский ГО
38125798,0.05555555555555555,0.012254901960784314,153.0,33.84375,Ангарский ГО
38107830,0.055871523809524114,0.0062289198841699285,148.0,18.441405999999965,Шелеховский район
38125491,0.05813953488372093,0.012254901960784314,153.0,33.84375,Ангарский ГО
38125689,0.05813953488372093,0.012254901960784314,153.0,33.84375,Ангарский ГО
38125490,0.05813953488372093,0.012254901960784314,153.0,33.84375,Ангарский ГО
38125690,0.05813953488372093,0.012254901960784314,153.0,33.84375,Ангарский ГО
38118476,0.05909153246753233,0.006500068571428567,150.0,17.866071000000026,Правый берег
38106500,0.06211381366459564,0.007095783349101169,151.0,17.73979600000004,Ангарский ГО
38103402,0.06263454545454536,0.18035064705882328,153.0,398.4999999999999,Правый берег
38107422,0.0626623434343434,0.020273111111111103,153.0,50.625,Ангарский ГО
38122425,0.06428779047619052,0.006650461083743859,145.0,17.403061000000008,Левый берег
38126330,0.06501624242424225,0.0071517866666666605,150.0,17.866071000000026,Ангарский ГО
38111175,0.06666666666666667,0.042483660130718956,153.0,99.1875,Куйтунский район
38113009,0.06802892970521543,0.014191465468306555,151.0,26.280611999999987,Слюдянский район
38124827,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124837,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124838,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124844,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124845,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124846,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124826,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124848,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124849,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124850,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124851,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124854,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38124853,0.06818275324675319,0.007450433301797546,151.0,17.57142900000002,Ангарский ГО
38115297,0.06832494409937834,0.007857368571428524,150.0,20.123723999999974,Левый берег
38125752,0.07258812121212126,0.015656261437908506,153.0,33.84375,Ангарский ГО
38124756,0.07258815151515156,0.03131253594771244,153.0,67.6875,Ангарский ГО
38115192,0.07483208163265287,0.007857368571428564,150.0,20.123723999999974,Заларинский район
38125849,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38125578,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38125582,0.07848840310077519,0.01665296710526316,152.0,34.359375,Ангарский ГО
38122373,0.08163448072562336,0.017258296260786173,149.0,36.32142900000006,Заларинский район
38122374,0.08163481179138302,0.008629183125599226,149.0,18.16071400000003,Заларинский район
38125791,0.08333333333333333,0.01715686274509804,153.0,29.61543400000001,Ангарский ГО
38125489,0.08333333333333333,0.01715686274509804,153.0,33.84375,Ангарский ГО
38117974,0.08441689177489194,0.028044537871524496,149.0,54.48214299999998,Черемховский район
38100001,0.08638934169279013,0.054391184210526265,152.0,87.93888899999996,Иркутский район
38105093,0.09137795348837191,0.019261039215686265,153.0,36.095662999999945,Левый берег
38125911,0.09405569696969676,0.020286522875816948,153.0,33.84375,Ангарский ГО
38126227,0.09415737662337637,0.010221031015037584,152.0,17.276786000000016,Ангарский ГО
38100003,0.09533898305084745,0.196875,150.0,321.914062,Иркутский район
38125562,0.0956439696969697,0.020764809210526317,152.0,32.21364800000005,Ангарский ГО
38125565,0.0956439696969697,0.020764809210526317,152.0,34.359375,Ангарский ГО
38115187,0.09634720265780693,0.02071464857142852,150.0,35.73214300000005,Заларинский район
38121673,0.09698120789779302,0.020014578139980803,149.0,38.62117299999995,Тулунский район
38116800,0.09848609523809489,0.010906178331735359,149.0,13.06122399999999,Левый берег
38125447,0.09943184848484848,0.021587177631578948,152.0,34.53125,Ангарский ГО
38125520,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125521,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125453,0.09943184848484848,0.021587177631578948,152.0,34.53125,Ангарский ГО
38125524,0.09943184848484848,0.021587177631578948,152.0,34.46785700000004,Ангарский ГО
38125792,0.10174418604651163,0.02144607843137255,153.0,31.729592000000043,Ангарский ГО
38122588,0.10204276643990857,0.010714490476190415,150.0,17.866071000000026,Тулунский район
38109574,0.10206981818181772,0.011227679999999967,150.0,17.866071000000026,Усольский район
38100083,0.10239573913043501,0.01602110204081633,147.0,24.42244899999996,Иркутский район
38118964,0.1036641818181817,0.011327543046357622,151.0,17.57142900000002,Черемховский район
38122309,0.10389770562770512,0.011428747619047582,150.0,13.394387999999978,
38115715,0.10389809523809498,0.011278411654135324,152.0,17.276786000000016,Ангарский ГО
38125850,0.10416669841269842,0.021587177631578948,152.0,29.731185999999987,Ангарский ГО
38100033,0.10714388744588749,0.03535748285714284,150.0,53.59821399999998,Иркутский район
38126442,0.1073290540340488,0.034524179047619015,150.0,53.59821399999998,Черемховский район
38100007,0.10867548902195609,0.09074403333333333,150.0,121.49888400000005,Иркутский район
38125488,0.10975609756097561,0.022058823529411766,153.0,33.84375,Ангарский ГО
38128206,0.11039161038961044,0.01206265941343427,151.0,17.57142900000002,Заларинский район
38125749,0.11108539393939401,0.023959594771241845,153.0,33.84375,Ангарский ГО
38124668,0.11108539393939401,0.023959594771241845,153.0,33.84375,Ангарский ГО
38104629,0.11118114285714287,0.0364813125,16.0,50.625,Левый берег
38125563,0.11157413333333333,0.02477386184210526,152.0,36.61607100000003,Ангарский ГО
38100049,0.11183308177339901,1.120170177631579,152.0,1395.0868059999984,Иркутский район
38108685,0.11202184592242394,0.34071481045751617,153.0,417.4180559999999,Зиминский район
38124675,0.11217574891774888,0.012339332380952398,150.0,17.866071000000026,Ангарский ГО
38115499,0.11386825108225067,0.01236069830827065,152.0,17.57142900000002,Усольский район
38106311,0.11428750952380966,0.02255674530075194,152.0,25.85969399999998,Ангарский ГО
38110166,0.11428790476190437,0.011278411654135316,152.0,8.596907999999999,Слюдянский район
38100013,0.11475409836065574,0.10294117647058823,153.0,151.875,Иркутский район
38100133,0.11568405158730145,0.3835839605263157,152.0,530.0952379999993,Иркутский район
38125566,0.11574077037037038,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125737,0.11666666666666667,0.07434640522875817,153.0,101.53125,Ангарский ГО
38126260,0.11686991869918699,0.023488562091503268,153.0,33.81964300000003,Ангарский ГО
38110353,0.11764705882352941,0.08823529411764706,153.0,103.62500000000017,МО Саянск
38124825,0.11904848979591817,0.012417309366130558,151.0,17.57142900000002,Ангарский ГО
38124847,0.11904848979591817,0.012417309366130558,151.0,17.57142900000002,Ангарский ГО
38124856,0.1190484897959182,0.01241730936613056,151.0,17.57142900000002,Ангарский ГО
38124855,0.11904848979591821,0.012417309366130561,151.0,17.57142900000002,Ангарский ГО
38124852,0.11904859863945562,0.012417320719016085,151.0,17.57142900000002,Ангарский ГО
38125813,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125817,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125816,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125811,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125815,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125812,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125814,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38122421,0.11973836363636342,0.013083993377483442,151.0,17.546258999999978,Левый берег
38102725,0.12033187910854554,0.9810587320261435,153.0,1153.1666670000002,Правый берег
38102745,0.12075005312868985,0.26738639215686283,153.0,315.058333,Правый берег
38104624,0.12075633964912291,0.2811728496732029,153.0,373.85416699999996,Левый берег
38125573,0.12112406201550388,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125561,0.12112406201550388,0.025699019736842105,152.0,32.21364800000005,Ангарский ГО
38125567,0.12112406201550388,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125888,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125681,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125885,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125884,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125878,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125879,0.12121212121212122,0.02631578947368421,152.0,32.21364800000005,Ангарский ГО
38125896,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125880,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
